question,answer
Where should I send a letter to if I want to make a complaint?,"Customer Relations Manager, Churchill Court, Westmoreland Road, Bromley BR1 1DP"
How long does it take to resolve most complaints?,Three working days
What is the phone number to call from outside the UK to make a complaint?,+44 (0) 141 349 0193
What will I receive if my complaint is resolved within 3 working days?,Summary Resolution Communication
How long do you have to refer your case to the Financial Ombudsman Service?,Within 6 months of our response letter.
What is the phone number to contact the Financial Ombudsman Service from abroad?,+44 (0) 20 7964 0500
What should you do if you are involved in an accident and someone is injured?,Call the police and emergency services.
What is the website of the Financial Ombudsman Service?,www.financial-ombudsman.org.uk
What should you do if you are in an accident and it's safe to do so?,"Take photos of the accident, including any vehicles involved."
What is the phone number for windscreen claims?,0800 328 9150
Who underwrites Churchill insurance policies?,U K Insurance Limited
What is the email address for DriveSure help?,Support@churchill.com
What is the phone number for motor legal helpline?,0345 246 2408
What is the registered office address of U K Insurance Limited?,"The Wharf, Neville Street, Leeds, LS1 4AZ"
